회사명,도시,HS코드,규모,MOQ협상,월수입추정USD,등급,데이터소스,컨택액션
Sitel Corporation Philippines,marilao bulacan,330499,LARGE,✅ MOQ협상 강함,155930,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
Loudcloud LLC,Los Angeles,330499,MEDIUM,✅ MOQ협상 가능,154605,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
Liquink llc,Boston,330499,MEDIUM,✅ MOQ협상 가능,151159,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
Time Group,dhaka,330499,LARGE,✅ MOQ협상 강함,147675,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
Landmark Group KSA,RIYADH,330499,LARGE,✅ MOQ협상 강함,146641,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
Nines Group,TORRANCE,330499,LARGE,✅ MOQ협상 강함,145575,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
Geneste family corp,Boston,330499,LARGE,✅ MOQ협상 강함,142676,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
South Bend Community School Corporation,DALLAS,330499,LARGE,✅ MOQ협상 강함,139365,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
Hakeemi Global,Boca Raton Florida,330499,LARGE,✅ MOQ협상 강함,137037,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
216 cinci LLC,DALLAS,330499,MEDIUM,✅ MOQ협상 가능,133397,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
ceyloncaps international,colmbo,330499,LARGE,✅ MOQ협상 강함,130194,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
SeoulWholesales2u,PETALING,330499,MEDIUM,✅ MOQ협상 가능,120401,B등급,KOTRA SNS 수집,웹사이트 → 담당자 → 샘플 제안
