buyNo,buyName,nationName,phone,regDateStr,detailLink,country_iso
4080,Мэдээлэл холбооны сүлжээ ХХК (Information Communication Network LLC),몽골,(+976) 70112519,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4080,MN
4079,System Center LLC,몽골,(+976)7575 9997,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4079,MN
4078,Bloomlink,몽골,(+976) 7599 0000,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4078,MN
4077,Infinite Solutions,몽골,-,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4077,MN
4076,InetPro LLC,몽골,(+976)-77367534; (+976)-94408811,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4076,MN
4075,Infosolution,몽골,(+976) 75111359,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4075,MN
4074,VERTEXMON,몽골,7575-0700,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4074,MN
4073,ITZONE,몽골,(+976)-11-330990,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4073,MN
4072,Infosec Intelligence LLC,몽골,(+976) 7233 6892,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4072,MN
4071,Radiant System Integration (RSI),방글라데시,(+880) 1856-698844,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4071,BD
4070,Applied Automation ,방글라데시,(+880) 17320646208,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4070,BD
4069,Total Systems Integration BD,방글라데시,-,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4069,BD
4068,Blue Solutions Limited,방글라데시,(+880) 961 382 5001,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4068,BD
4067,Shadhin Lab,방글라데시,(+880) 16 3333 66 22,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4067,BD
4066,Tangram Tech Solutions,방글라데시,(+880) 09610-976565,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4066,BD
4065,Tech Cloud Ltd,방글라데시,(+880) 1799-920150,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4065,BD
4064,Pridesys IT Limited,방글라데시,(+880) 1550000003,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4064,BD
4063,BRAIN STATION 23,방글라데시,(+880)-2-222290728,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4063,BD
4062,BDCOM,방글라데시,(+880) 9666 333 666,2025.09.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4062,BD
4061,Robot System,태국,(+66) 2 173 4367 69,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4061,TH
4060,GENSURV Robotics,태국,(+66) 02-128-0771,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4060,TH
4059,AI and Robotics Ventures Company Limited,태국,-,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4059,TH
4058,"Thai Hibex Co., LTD",태국,(+66) 2 529 1516,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4058,TH
4057,RAAS PAL COMPANY LIMITED,태국,(+66) (0)2 576 5555,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4057,TH
4056,TCR Robotic Thailand,태국,(+66) (0)21-028668,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4056,TH
4055,"SDG Innotech Solutions Co., Ltd.",태국,(+66) (0)830143912,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4055,TH
4054,Haxter Robotics,태국,(+66) 2 218 6437,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4054,TH
4053,"Riverplus Co., Ltd",태국,(+66) 80-63-888,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4053,TH
4052,Aicon Technology ,태국,(+66) -2-116-1653,2025.08.06,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4052,TH
4051,Elementus,미국,-,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4051,US
4050,BlockApps,미국,(+1) (833) 325-6252,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4050,US
4049,Shift Markets,미국 ,(+1) (646) 926-7005,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4049,
4048,Metafide  ,미국,-,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4048,US
4047,Tatum,미국,(+1) -786-648-6274,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4047,US
4046,Consensys,미국,-,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4046,US
4045,ArenaVS,미국,-,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4045,US
4044,Lingo Ledger,미국,-,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4044,US
4043,K.I.S.S. Software,미국,(+1) 7866000621,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4043,US
4042,Codiste,미국,(+1) (747) 265-1874,2025.07.15,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4042,US
4041,Northstar Robotics,캐나다,-,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4041,CA
4040,Trexo Robotics,캐나다,(844) 844-0607,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4040,CA
4039,Avidbots,캐나다,1-855-928-4326,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4039,CA
4038,ATTAbotics,캐나다,-,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4038,CA
4037,Omnirobotic,캐나다,(450) 231-1077,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4037,CA
4036,Clearpath Robotics,캐나다,1 800 301 3863,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4036,CA
4035,Kinova,캐나다,(+1) 514 277-3777,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4035,CA
4034,Novarc Technologies,캐나다,(+1) 236 477 5347,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4034,CA
4033,Robotiq,캐나다,1-888-762-6847,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4033,CA
4032,Sanctuary AI,캐나다,-,2025.06.13,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4032,CA
4031,Growthpad Consulting Group,케냐,(+254) 701 850850,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4031,KE
4030,Charleson,케냐,(+254) 759 390 000,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4030,KE
4029,Digital Media Kenya,케냐,254708042980,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4029,KE
4028,KWETU Marketing Agency,케냐,(+254) 0711 857 237,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4028,KE
4027,Akus Digital Solution,케냐,(+254)-771-616-234,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4027,KE
4026,Drelix Comics,케냐,(+254) 741492515,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4026,KE
4025,Betika,케냐,0729290290,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4025,KE
4024,Usiku Games,케냐,-,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4024,KE
4023,K24 Plus,케냐,-,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4023,KE
4022,Viusasa,케냐,0709767000,2025.05.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4022,KE
4021,4CAD Group,프랑스,(+33) 2 51 70 28 82,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4021,FR
4020,2GEZER,프랑스,(+33) 7 87 36 40 59,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4020,FR
4019,Econocom,프랑스,(+33) 1 41 67 30 00,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4019,FR
4018,Aubay,프랑스,(+33) 1 46 10 67 67,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4018,FR
4017,Neurones,프랑스,(+33) )(0) 141374137,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4017,FR
4016,Inetum,프랑스,(+33) (0)1 44 04 50 00,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4016,FR
4015,Devoteam,프랑스,-,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4015,FR
4014,Capgemini,프랑스,(+33) 1 47 54 50 00,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4014,FR
4013,Atos,프랑스,-,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4013,FR
4012,Cloudity,프랑스,(+33) (0)4 76 70 80 50,2025.05.02,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4012,FR
4011,Health Graph,인도,(+91) 7975989664,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4011,IN
4010,MEDOC HEALTH IT PRIVATE LIMITED,인도,-,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4010,IN
4009,AICA Health,인도,919821286111,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4009,IN
4008,Diagno Intelligent Systems,인도,(+91) 9790840279,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4008,IN
4007,Wellthy Therapeutics,인도,(+91) 22 4966 8867,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4007,IN
4006,Orange Health Labs,인도,9008111144,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4006,IN
4005,Practo,인도,(+91) 97321 64707,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4005,IN
4004,Pristyn Care,인도,6366-527-848,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4004,IN
4003,MediBuddy,인도,-,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4003,IN
4002,Onsurity,인도,-,2025.03.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4002,IN
4001,Tophant,중국,400-156-9866,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4001,CN
4000,Surfilter,중국,-,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4000,CN
3999,360 Digital Security Group,중국,-,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3999,CN
3998,360 Total Security ,중국,-,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3998,CN
3997,LegendSec,중국,(+86)-10-6297-2892,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3997,CN
3996,H3C,중국,-,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3996,CN
3995,FEITIAN,중국,(+86) 10 6230-4466,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3995,CN
3994,DBAPPSecurity Ltd.,중국,(+86) 57 128898076,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3994,CN
3993,Antiy Labs,중국,-,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3993,CN
3992,AVL Mobile Security,중국,-,2025.02.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3992,CN
3991,GihOT,베트남/호치민,(+84) 283 620 1185,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3991,
3990,Halo Digital Media,베트남/냐짱,(+84) 783803593,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3990,
3989,Dong Tay Promotion,베트남/호치민,(+84) 28 3824 1919,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3989,
3988,Cat Tien Sa Media Group,베트남/호치민,-,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3988,
3987,Dien Quan Media & Entertainment,베트남/호치민,(+84) 28 6255 2255,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3987,
3986,VCCorp,베트남/하노이,(+84) (4)39743410,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3986,
3985,Chicilon Media,베트남,-,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3985,VN
3984,DatVietVAC,베트남/호치민,(+84) 28 3824 1919,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3984,
3983,Appota Corporation,베트남/하노이,(+84) 2435 191 618,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3983,
3982,VNG Corporation,베트남/호치민,-,2025.02.07,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3982,
3981,Virdome,카타르 / 도하,(+974) 3322 2105,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3981,
3980,Reality 4D,카타르 / 도하,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3980,
3979,Azym Technologies,카타르,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3979,QA
3978,NextAge Technologies,"미국 / 캘리포니아, 멘로파크",-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3978,
3977,Mekdam Technology,카타르 / 도하,(+974) 4405 9000,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3977,
3976,Techno Q,카타르 / 도하,(+974) 4000 9700,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3976,
3975,Black Arrow,카타르,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3975,QA
3974,IQ (Informatica Qatar),카타르 / 도하,(+974) 4431 3597,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3974,
3973,Mannai InfoTech,카타르 / 도하,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3973,
3972,Ideal Solutions,카타르,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3972,QA
3971,iHorizons,카타르,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3971,QA
3970,malomatia,카타르 / 루사일,(+974) 4499 2888,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3970,
3969,One Network,파키스탄 ,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3969,
3968,XpertDigi,파키스탄 / 라호르,(+92) 331 9639762,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3968,
3967,Base Camp Data Solutions,파키스탄 ,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3967,
3966,Jaffer Business Systems,파키스탄 / 카라치,-,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3966,
3965,Vaival Technologies,파키스탄 / 라호르,(+92) 42 35911685,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3965,
3964,Salsoft Technologies (Pvt) Ltd,파키스탄 / 카라치,(+92) 21 34550354,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3964,
3963,Programmers Force,파키스탄 / 라호르,(+92) 301-588-8444,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3963,
3962,Ideofuzion,파키스탄 / 이슬라마바드,(+92) 51 5411473,2024.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3962,
3961,Tintash,파키스탄 / 라호르,(+1) (415) 234-0744,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3961,
3960,Quecko Inc.,파키스탄 / 이슬라마바드,(+92) 51 8733708,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3960,
3959,Xord,파키스탄 / 카라치,(+92) 332 3048550,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3959,
3958,PayPro,"미국 / 조지아, 애틀랜타",-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3958,
3957,Finja,파키스탄 / 카라치,(+92) 42 38100050,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3957,
3956,JazzCash,파키스탄 / 카라치,-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3956,
3955,IR Solutions,파키스탄 / 이슬라마바드,(+92) 51 2761585,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3955,
3954,RapidCompute,파키스탄 / 카라치,(+92) 21 111 125 683,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3954,
3953,FiveRivers Technologies,파키스탄 / 라호르,(+92) 42 3578 8421,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3953,
3952,Systems Limited,파키스탄 / 라호르,-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3952,
3951,Gauss Algorithmic,체코 / 브르노,(+420) 773 741 874,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3951,
3950,Bohemian AI,체코 / 프라하,(+1) (650) 600-1536,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3950,
3949,EON Reality,"미국 / 캘리포니아, 어바인",-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3949,
3948,Vobling,스웨덴 / 스톡홀름,(+46) 70 556 40 03,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3948,
3947,Spotscale,스웨덴 / 스톡홀름,-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3947,
3946,Adverty,스웨덴 / 스톡홀름,-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3946,
3945,Cortopia,스웨덴 / 스톡홀름,-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3945,
3944,Fast Travel Games,스웨덴 / 스톡홀름,-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3944,
3943,Charpstar,스웨덴 / 스톡홀름,-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3943,
3942,wec360,스웨덴 / 스톡홀름,-,2024.11.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3942,
3941,3D Interactive Sthlm,스웨덴 / 스톡홀름,(+46) 70 279 71 21,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3941,
3940, Hology Interactive AB / Hology Engine,스웨덴,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3940,SE
3939,XR Solutions,스웨덴 / 스톡홀름,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3939,
3938,Alloverse,스웨덴 / 스톡홀름,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3938,
3937,Gleechi,스웨덴 / 스톡홀름,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3937,
3936,Goodbye Kansas Group ,스웨덴 / 스톡홀름,(+46) 8 556 990 00,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3936,
3935,Warpin ,스웨덴 / 스톡홀름,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3935,
3934,Crunchfish,스웨덴 / 말뫼,(+46) 40 626 77 00,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3934,
3933,IVAR Studios,스웨덴 / 스톡홀름,(+46) 73 313 05 69,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3933,
3932,Volbing,미국 / 일리노이,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3932,
3931,Resolution Games,스웨덴 / 스톡홀름,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3931,
3930,Manomotion,스웨덴 / 스톡홀름,(+46) 79 356 88 41,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3930,
3929,24 Vision Systems,체코 / 프리데크미스테크,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3929,
3928,Datamole,체코 / 프라하,(+420) 608 535 730,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3928,
3927,GoodAI,체코 / 프라하,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3927,
3926,Neuron Soundware,체코 / 프라하,(+420) 773 756 440,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3926,
3925,Rossum,체코 / 프라하,-,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3925,
3924,System4u,체코 / 브르노,(+420) 543 210 522,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3924,
3923,OKsystem,체코 / 프라하,(+420) 236 072 111,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3923,
3922,Anect,체코 / 프라하,(+420) 271 100 100,2024.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3922,
3921,Yord,체코,(+420) 737 004 080,2024.09.26,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3921,CZ
